complaint_id,customer_id,complaint_date,complaint_type,resolution_status,resolution_days
COMP100049,CUST100045,2025-08-22,Data/Speed Issue,Resolved,10
COMP100050,CUST100045,2025-10-28,Service Quality,Pending,7
COMP100051,CUST100045,2026-01-15,Data/Speed Issue,Pending,10
COMP100052,CUST100048,2025-09-03,Network Issue,Resolved,1
COMP100053,CUST100048,2025-09-16,Network Issue,Resolved,1
COMP100054,CUST100048,2025-10-10,Data/Speed Issue,Resolved,2
COMP100055,CUST100049,2025-09-06,Data/Speed Issue,Resolved,2
COMP100056,CUST100051,2026-01-18,Billing Issue,Resolved,1
COMP100057,CUST100051,2026-01-13,Other,Resolved,5
COMP100058,CUST100051,2025-09-16,Service Quality,Resolved,3
COMP100059,CUST100051,2025-08-07,Service Quality,Resolved,4
COMP100060,CUST100052,2025-08-31,Billing Issue,Resolved,5
COMP100061,CUST100053,2025-09-18,Network Issue,Resolved,6
COMP100062,CUST100054,2026-01-08,Network Issue,Resolved,1
COMP100063,CUST100055,2025-09-29,Billing Issue,Resolved,11
COMP100064,CUST100055,2025-11-03,Service Quality,Resolved,8
COMP100065,CUST100057,2026-01-25,Service Quality,Pending,12
COMP100066,CUST100058,2025-11-21,Data/Speed Issue,Resolved,4
COMP100067,CUST100058,2025-08-23,Service Quality,Resolved,6
COMP100068,CUST100061,2025-11-25,Service Quality,Resolved,9
COMP100069,CUST100061,2025-08-04,Billing Issue,Resolved,6
COMP100070,CUST100061,2025-12-25,Other,Pending,11
COMP100071,CUST100063,2025-12-24,Network Issue,Resolved,1
COMP100072,CUST100064,2025-12-27,Service Quality,Resolved,3
COMP100073,CUST100064,2025-12-31,Service Quality,Resolved,3
COMP100074,CUST100064,2025-09-24,Data/Speed Issue,Resolved,14
COMP100075,CUST100065,2025-09-22,Network Issue,Pending,7
COMP100076,CUST100065,2025-11-22,Data/Speed Issue,Resolved,8
COMP100077,CUST100065,2025-09-28,Network Issue,Pending,3
COMP100078,CUST100066,2025-10-24,Data/Speed Issue,Resolved,2
COMP100079,CUST100067,2025-10-25,Billing Issue,Resolved,4
COMP100080,CUST100067,2026-01-30,Network Issue,Resolved,3
COMP100081,CUST100067,2026-01-24,Billing Issue,Resolved,2
COMP100082,CUST100069,2025-08-17,Service Quality,Pending,6
COMP100083,CUST100070,2025-08-21,Billing Issue,Resolved,4
COMP100084,CUST100077,2025-10-03,Service Quality,Resolved,2
COMP100085,CUST100078,2025-12-25,Data/Speed Issue,Pending,9
COMP100086,CUST100078,2026-01-09,Billing Issue,Pending,8
COMP100087,CUST100078,2025-10-30,Network Issue,Pending,13
COMP100088,CUST100078,2025-08-16,Billing Issue,Resolved,4
COMP100089,CUST100078,2025-08-29,Service Quality,Resolved,13
COMP100090,CUST100079,2025-12-13,Network Issue,Resolved,2
COMP100091,CUST100080,2026-01-09,Service Quality,Resolved,2
COMP100092,CUST100082,2026-01-13,Service Quality,Resolved,9
COMP100093,CUST100082,2025-11-17,Billing Issue,Resolved,6
COMP100094,CUST100082,2026-01-16,Billing Issue,Resolved,3
COMP100095,CUST100083,2025-09-23,Network Issue,Resolved,4
COMP100096,CUST100083,2025-12-08,Data/Speed Issue,Resolved,1
COMP100097,CUST100083,2025-08-14,Service Quality,Pending,5
COMP100098,CUST100083,2025-09-25,Service Quality,Resolved,2
COMP100099,CUST100083,2025-10-15,Billing Issue,Pending,4
COMP100100,CUST100085,2025-09-12,Other,Resolved,12
COMP100101,CUST100085,2026-01-16,Data/Speed Issue,Resolved,10
COMP100102,CUST100085,2025-12-26,Service Quality,Resolved,12
COMP100103,CUST100085,2025-08-10,Service Quality,Pending,4
COMP100104,CUST100085,2025-09-13,Service Quality,Pending,10
COMP100105,CUST100087,2025-10-25,Billing Issue,Resolved,1
COMP100106,CUST100087,2025-09-06,Billing Issue,Resolved,3
COMP100107,CUST100088,2025-12-07,Data/Speed Issue,Pending,4
COMP100108,CUST100088,2025-11-03,Billing Issue,Pending,3
COMP100109,CUST100088,2025-11-13,Other,Resolved,10
COMP100110,CUST100090,2025-12-20,Service Quality,Resolved,11
COMP100111,CUST100090,2025-11-09,Data/Speed Issue,Resolved,8
COMP100112,CUST100090,2025-09-04,Billing Issue,Resolved,10
COMP100113,CUST100090,2025-11-13,Other,Resolved,6
COMP100114,CUST100090,2025-10-09,Billing Issue,Pending,5
COMP100115,CUST100092,2025-10-18,Data/Speed Issue,Resolved,1
COMP100116,CUST100094,2025-10-15,Data/Speed Issue,Resolved,11
COMP100117,CUST100094,2025-11-11,Network Issue,Resolved,8
COMP100118,CUST100094,2025-09-19,Billing Issue,Pending,12
COMP100119,CUST100096,2025-10-26,Service Quality,Pending,10
COMP100120,CUST100096,2026-01-18,Other,Pending,5
COMP100121,CUST100096,2025-11-24,Billing Issue,Pending,4
COMP100122,CUST100096,2026-01-30,Network Issue,Pending,3
COMP100123,CUST100098,2025-08-06,Network Issue,Resolved,3
COMP100124,CUST100098,2025-08-24,Network Issue,Resolved,6
COMP100125,CUST100098,2025-10-14,Network Issue,Resolved,3
COMP100126,CUST100098,2025-08-18,Service Quality,Resolved,5
COMP100127,CUST100099,2025-11-12,Network Issue,Resolved,9
COMP100128,CUST100099,2025-09-21,Billing Issue,Resolved,12
COMP100129,CUST100099,2025-08-11,Network Issue,Resolved,14
COMP100130,CUST100099,2025-08-09,Billing Issue,Resolved,8
COMP100131,CUST100100,2025-12-27,Service Quality,Resolved,2
COMP100132,CUST100100,2026-01-27,Network Issue,Resolved,2
COMP100133,CUST100100,2025-10-03,Network Issue,Resolved,4
COMP100134,CUST100100,2026-01-03,Billing Issue,Resolved,6
COMP100135,CUST100101,2025-09-18,Data/Speed Issue,Resolved,7
COMP100136,CUST100101,2026-01-28,Data/Speed Issue,Resolved,6
COMP100137,CUST100101,2025-09-04,Data/Speed Issue,Resolved,12
COMP100138,CUST100102,2025-12-10,Service Quality,Pending,12
COMP100139,CUST100102,2025-10-18,Data/Speed Issue,Resolved,10
COMP100140,CUST100102,2025-09-17,Billing Issue,Pending,14
COMP100141,CUST100102,2025-12-30,Billing Issue,Resolved,5
COMP100142,CUST100102,2026-01-20,Other,Pending,8
COMP100143,CUST100105,2025-09-15,Data/Speed Issue,Pending,14
COMP100144,CUST100105,2025-12-08,Network Issue,Resolved,8
COMP100145,CUST100105,2025-11-12,Data/Speed Issue,Pending,10
COMP100146,CUST100105,2025-11-22,Network Issue,Pending,13
COMP100147,CUST100105,2025-08-28,Network Issue,Resolved,13
COMP100148,CUST100107,2025-10-20,Data/Speed Issue,Resolved,5
COMP100149,CUST100107,2025-12-08,Network Issue,Resolved,2
COMP100150,CUST100110,2025-11-30,Billing Issue,Resolved,3
COMP100151,CUST100112,2025-09-17,Billing Issue,Resolved,12
COMP100152,CUST100112,2025-08-14,Network Issue,Resolved,12
COMP100153,CUST100112,2025-09-29,Network Issue,Resolved,13
COMP100154,CUST100112,2025-11-05,Billing Issue,Resolved,4
COMP100155,CUST100112,2025-09-13,Network Issue,Pending,3
COMP100156,CUST100114,2025-12-11,Network Issue,Resolved,5
COMP100157,CUST100114,2025-08-21,Network Issue,Resolved,2
COMP100158,CUST100116,2025-11-03,Billing Issue,Resolved,3
COMP100159,CUST100117,2025-12-18,Data/Speed Issue,Resolved,6
COMP100160,CUST100117,2025-10-21,Other,Pending,1
COMP100161,CUST100119,2025-12-02,Billing Issue,Resolved,2
COMP100162,CUST100120,2025-09-30,Network Issue,Pending,4
COMP100163,CUST100121,2025-11-06,Billing Issue,Pending,3
COMP100164,CUST100122,2026-01-06,Data/Speed Issue,Pending,2
COMP100165,CUST100123,2026-01-14,Network Issue,Resolved,3
COMP100166,CUST100125,2025-12-05,Other,Resolved,5
COMP100167,CUST100127,2025-10-03,Data/Speed Issue,Resolved,1
COMP100168,CUST100131,2025-10-22,Service Quality,Resolved,1
COMP100169,CUST100132,2025-12-24,Billing Issue,Resolved,5
COMP100170,CUST100132,2025-08-11,Billing Issue,Resolved,1
COMP100171,CUST100132,2026-01-01,Network Issue,Resolved,4
COMP100172,CUST100134,2025-08-16,Other,Resolved,5
COMP100173,CUST100136,2025-12-06,Network Issue,Resolved,5
COMP100174,CUST100136,2025-08-17,Service Quality,Resolved,10
COMP100175,CUST100136,2025-08-24,Service Quality,Pending,3
COMP100176,CUST100136,2025-09-12,Billing Issue,Resolved,7
COMP100177,CUST100137,2025-10-12,Data/Speed Issue,Pending,8
COMP100178,CUST100137,2025-12-30,Data/Speed Issue,Resolved,4
COMP100179,CUST100137,2025-10-15,Billing Issue,Resolved,14
COMP100180,CUST100138,2025-12-15,Network Issue,Resolved,2
COMP100181,CUST100139,2025-10-12,Data/Speed Issue,Resolved,5
COMP100182,CUST100140,2025-11-20,Other,Resolved,4
COMP100183,CUST100140,2025-08-18,Billing Issue,Resolved,1
COMP100184,CUST100141,2025-08-20,Service Quality,Pending,7
COMP100185,CUST100141,2025-08-17,Billing Issue,Pending,10
COMP100186,CUST100141,2025-10-01,Billing Issue,Resolved,13
COMP100187,CUST100141,2026-01-16,Billing Issue,Pending,6
COMP100188,CUST100142,2025-09-16,Billing Issue,Resolved,6
COMP100189,CUST100143,2025-10-27,Service Quality,Resolved,5
COMP100190,CUST100144,2025-11-22,Network Issue,Resolved,6
COMP100191,CUST100144,2025-09-08,Billing Issue,Resolved,1
COMP100192,CUST100145,2025-11-22,Network Issue,Resolved,3
COMP100193,CUST100145,2026-01-04,Network Issue,Pending,3
COMP100194,CUST100145,2025-09-03,Data/Speed Issue,Resolved,5
COMP100195,CUST100146,2025-09-20,Network Issue,Resolved,2
COMP100196,CUST100146,2025-11-21,Billing Issue,Resolved,4
COMP100197,CUST100149,2025-12-17,Data/Speed Issue,Pending,4
COMP100198,CUST100149,2025-10-07,Network Issue,Pending,4
COMP100199,CUST100149,2025-09-15,Billing Issue,Pending,10
COMP100200,CUST100149,2025-08-06,Service Quality,Resolved,7
COMP100201,CUST100150,2025-09-18,Billing Issue,Resolved,1
COMP100202,CUST100154,2025-08-26,Data/Speed Issue,Pending,2
COMP100203,CUST100154,2025-09-12,Data/Speed Issue,Resolved,3
COMP100204,CUST100155,2026-01-13,Network Issue,Resolved,2
COMP100205,CUST100156,2026-01-01,Network Issue,Resolved,3
COMP100206,CUST100157,2025-08-31,Other,Resolved,9
COMP100207,CUST100158,2025-09-20,Billing Issue,Pending,3
COMP100208,CUST100161,2025-09-17,Network Issue,Pending,10
COMP100209,CUST100161,2025-12-01,Billing Issue,Pending,4
COMP100210,CUST100162,2025-11-22,Network Issue,Resolved,3
COMP100211,CUST100162,2025-09-29,Billing Issue,Pending,3
COMP100212,CUST100162,2026-01-27,Data/Speed Issue,Pending,11
COMP100213,CUST100163,2025-12-14,Service Quality,Resolved,9
COMP100214,CUST100163,2025-12-08,Network Issue,Pending,8
COMP100215,CUST100163,2025-11-26,Network Issue,Resolved,12
COMP100216,CUST100163,2025-09-30,Network Issue,Pending,4
COMP100217,CUST100163,2025-11-07,Billing Issue,Resolved,13
COMP100218,CUST100165,2025-10-29,Data/Speed Issue,Pending,4
COMP100219,CUST100165,2025-12-04,Service Quality,Pending,13
COMP100220,CUST100165,2025-12-14,Network Issue,Pending,8
COMP100221,CUST100165,2025-12-16,Billing Issue,Resolved,7
COMP100222,CUST100165,2025-12-14,Network Issue,Resolved,11
COMP100223,CUST100167,2025-10-30,Service Quality,Resolved,4
COMP100224,CUST100167,2025-09-23,Data/Speed Issue,Resolved,10
COMP100225,CUST100167,2025-12-24,Service Quality,Pending,7
COMP100226,CUST100167,2025-10-06,Network Issue,Pending,8
COMP100227,CUST100168,2026-01-18,Data/Speed Issue,Pending,13
COMP100228,CUST100168,2025-11-24,Network Issue,Resolved,4
COMP100229,CUST100168,2025-10-13,Billing Issue,Resolved,12
COMP100230,CUST100169,2025-11-20,Billing Issue,Resolved,1
COMP100231,CUST100169,2025-12-08,Billing Issue,Resolved,5
COMP100232,CUST100169,2025-10-25,Network Issue,Resolved,2
COMP100233,CUST100169,2025-11-23,Billing Issue,Resolved,2
COMP100234,CUST100170,2025-08-11,Data/Speed Issue,Pending,11
COMP100235,CUST100170,2025-11-12,Data/Speed Issue,Resolved,12
COMP100236,CUST100172,2025-09-16,Billing Issue,Resolved,2
COMP100237,CUST100172,2026-01-15,Billing Issue,Resolved,6
COMP100238,CUST100175,2025-11-22,Service Quality,Resolved,4
COMP100239,CUST100175,2025-10-22,Network Issue,Pending,5
COMP100240,CUST100175,2025-09-20,Data/Speed Issue,Resolved,4
COMP100241,CUST100175,2025-09-11,Data/Speed Issue,Resolved,4
COMP100242,CUST100178,2025-10-14,Data/Speed Issue,Pending,3
COMP100243,CUST100179,2025-12-12,Data/Speed Issue,Resolved,7
COMP100244,CUST100179,2025-11-12,Other,Pending,4
COMP100245,CUST100179,2025-12-09,Data/Speed Issue,Pending,8
COMP100246,CUST100181,2025-12-12,Network Issue,Pending,3
COMP100247,CUST100181,2025-11-25,Service Quality,Resolved,4
COMP100248,CUST100182,2025-12-01,Other,Pending,6
COMP100249,CUST100182,2025-08-14,Network Issue,Resolved,5
COMP100250,CUST100183,2025-12-01,Other,Resolved,7
COMP100251,CUST100184,2025-12-31,Service Quality,Resolved,2
COMP100252,CUST100184,2025-09-24,Billing Issue,Resolved,2
COMP100253,CUST100184,2025-09-29,Network Issue,Resolved,1
COMP100254,CUST100185,2025-08-10,Billing Issue,Pending,8
COMP100255,CUST100185,2025-10-28,Data/Speed Issue,Pending,4
COMP100256,CUST100185,2026-01-13,Service Quality,Pending,6
COMP100257,CUST100185,2025-08-15,Billing Issue,Pending,10
COMP100258,CUST100185,2025-10-21,Data/Speed Issue,Resolved,10
COMP100259,CUST100188,2026-01-23,Billing Issue,Resolved,6
COMP100260,CUST100188,2025-11-20,Data/Speed Issue,Pending,4
COMP100261,CUST100188,2025-11-27,Network Issue,Resolved,3
COMP100262,CUST100189,2026-01-08,Data/Speed Issue,Resolved,6
COMP100263,CUST100189,2025-10-15,Network Issue,Resolved,1
COMP100264,CUST100190,2026-01-05,Billing Issue,Resolved,5
COMP100265,CUST100192,2025-09-13,Billing Issue,Resolved,3
COMP100266,CUST100193,2026-01-17,Billing Issue,Resolved,5
COMP100267,CUST100195,2025-12-19,Service Quality,Resolved,5
COMP100268,CUST100195,2025-09-09,Data/Speed Issue,Resolved,1
COMP100269,CUST100195,2025-09-15,Billing Issue,Resolved,2
COMP100270,CUST100197,2025-10-27,Data/Speed Issue,Resolved,5
COMP100271,CUST100197,2025-08-05,Data/Speed Issue,Resolved,1
COMP100272,CUST100198,2025-09-10,Network Issue,Resolved,1
COMP100273,CUST100201,2025-08-11,Network Issue,Pending,5
COMP100274,CUST100201,2026-01-22,Network Issue,Resolved,4
COMP100275,CUST100202,2025-09-10,Network Issue,Resolved,4
COMP100276,CUST100203,2025-11-11,Network Issue,Resolved,2
COMP100277,CUST100204,2025-12-19,Billing Issue,Pending,8
COMP100278,CUST100204,2026-01-07,Network Issue,Resolved,8
COMP100279,CUST100204,2026-01-01,Billing Issue,Resolved,8
COMP100280,CUST100204,2025-08-24,Other,Pending,12
COMP100281,CUST100206,2025-09-25,Billing Issue,Pending,7
COMP100282,CUST100206,2025-10-24,Service Quality,Resolved,11
COMP100283,CUST100206,2025-08-16,Data/Speed Issue,Resolved,4
COMP100284,CUST100207,2025-08-24,Network Issue,Resolved,5
COMP100285,CUST100208,2025-11-17,Billing Issue,Resolved,6
COMP100286,CUST100209,2025-10-22,Billing Issue,Resolved,8
COMP100287,CUST100210,2025-11-19,Data/Speed Issue,Pending,8
COMP100288,CUST100212,2025-12-03,Service Quality,Resolved,14
COMP100289,CUST100212,2026-01-01,Network Issue,Pending,13
COMP100290,CUST100212,2025-09-06,Billing Issue,Resolved,9
COMP100291,CUST100213,2025-10-22,Data/Speed Issue,Resolved,4
COMP100292,CUST100214,2025-08-05,Data/Speed Issue,Resolved,14
COMP100293,CUST100214,2026-01-23,Data/Speed Issue,Pending,8
COMP100294,CUST100214,2026-01-23,Other,Resolved,8
COMP100295,CUST100217,2025-09-19,Data/Speed Issue,Resolved,5
COMP100296,CUST100217,2025-09-19,Network Issue,Resolved,4
COMP100297,CUST100217,2025-10-26,Network Issue,Resolved,3
COMP100298,CUST100218,2025-09-02,Network Issue,Pending,13
COMP100299,CUST100218,2025-10-28,Network Issue,Pending,9
COMP100300,CUST100219,2025-11-04,Data/Speed Issue,Resolved,3
COMP100301,CUST100219,2025-12-21,Service Quality,Resolved,5
COMP100302,CUST100219,2025-08-15,Network Issue,Pending,3
COMP100303,CUST100220,2025-10-31,Billing Issue,Pending,4
COMP100304,CUST100221,2025-08-10,Billing Issue,Pending,4
COMP100305,CUST100221,2026-01-20,Data/Speed Issue,Pending,3
COMP100306,CUST100222,2025-09-19,Network Issue,Resolved,3
COMP100307,CUST100223,2025-12-14,Network Issue,Resolved,10
COMP100308,CUST100223,2025-12-30,Network Issue,Pending,5
COMP100309,CUST100223,2025-08-18,Billing Issue,Resolved,12
COMP100310,CUST100223,2025-12-28,Data/Speed Issue,Resolved,10
COMP100311,CUST100223,2025-09-03,Data/Speed Issue,Pending,11
COMP100312,CUST100225,2025-09-05,Billing Issue,Resolved,3
COMP100313,CUST100226,2026-01-11,Service Quality,Resolved,2
COMP100314,CUST100227,2025-12-09,Service Quality,Resolved,6
COMP100315,CUST100227,2025-09-10,Billing Issue,Resolved,5
COMP100316,CUST100228,2025-12-26,Service Quality,Resolved,1
COMP100317,CUST100228,2025-09-17,Network Issue,Resolved,4
COMP100318,CUST100229,2025-08-04,Network Issue,Resolved,8
COMP100319,CUST100229,2025-10-12,Network Issue,Pending,6
COMP100320,CUST100229,2025-12-16,Network Issue,Resolved,3
COMP100321,CUST100229,2025-11-13,Data/Speed Issue,Pending,12
COMP100322,CUST100230,2025-12-04,Network Issue,Resolved,5
COMP100323,CUST100233,2025-09-06,Other,Resolved,3
COMP100324,CUST100235,2025-09-10,Service Quality,Pending,2
COMP100325,CUST100235,2025-10-02,Service Quality,Pending,3
COMP100326,CUST100235,2025-10-17,Billing Issue,Resolved,6
COMP100327,CUST100236,2025-08-31,Billing Issue,Resolved,12
COMP100328,CUST100238,2025-12-26,Billing Issue,Resolved,4
COMP100329,CUST100238,2025-09-20,Billing Issue,Resolved,1
COMP100330,CUST100239,2025-11-26,Service Quality,Resolved,2
COMP100331,CUST100239,2025-08-27,Billing Issue,Resolved,3
COMP100332,CUST100239,2025-10-23,Billing Issue,Pending,1
COMP100333,CUST100239,2025-08-30,Service Quality,Resolved,5
COMP100334,CUST100240,2025-08-13,Network Issue,Resolved,7
COMP100335,CUST100240,2025-10-28,Data/Speed Issue,Resolved,9
COMP100336,CUST100240,2025-12-06,Service Quality,Resolved,6
COMP100337,CUST100240,2026-01-23,Billing Issue,Resolved,14
COMP100338,CUST100243,2025-08-22,Other,Resolved,5
COMP100339,CUST100243,2025-08-23,Data/Speed Issue,Resolved,2
COMP100340,CUST100243,2025-12-08,Service Quality,Resolved,5
COMP100341,CUST100243,2025-10-21,Service Quality,Pending,2
COMP100342,CUST100243,2025-10-11,Data/Speed Issue,Resolved,4
COMP100343,CUST100247,2025-08-20,Other,Pending,5
COMP100344,CUST100247,2025-08-23,Service Quality,Pending,2
COMP100345,CUST100249,2025-08-19,Service Quality,Pending,5
COMP100346,CUST100249,2026-01-26,Data/Speed Issue,Resolved,8
COMP100347,CUST100249,2025-09-24,Network Issue,Resolved,13
COMP100348,CUST100250,2025-08-28,Network Issue,Resolved,1
COMP100349,CUST100251,2025-12-10,Billing Issue,Resolved,2
COMP100350,CUST100251,2025-10-13,Network Issue,Resolved,1
COMP100351,CUST100252,2025-11-10,Data/Speed Issue,Resolved,5
COMP100352,CUST100254,2025-10-19,Service Quality,Resolved,5
COMP100353,CUST100254,2025-09-05,Data/Speed Issue,Resolved,2
COMP100354,CUST100255,2025-11-28,Billing Issue,Resolved,3
COMP100355,CUST100257,2025-12-15,Billing Issue,Resolved,3
COMP100356,CUST100260,2025-11-25,Data/Speed Issue,Resolved,3
COMP100357,CUST100260,2025-09-04,Data/Speed Issue,Resolved,1
COMP100358,CUST100261,2026-01-07,Service Quality,Resolved,2
COMP100359,CUST100261,2025-08-26,Billing Issue,Resolved,1
COMP100360,CUST100263,2026-01-09,Billing Issue,Resolved,6
COMP100361,CUST100263,2025-12-08,Data/Speed Issue,Resolved,6
COMP100362,CUST100264,2025-11-02,Data/Speed Issue,Resolved,6
COMP100363,CUST100264,2025-11-05,Data/Speed Issue,Resolved,6
COMP100364,CUST100264,2026-01-01,Other,Resolved,5
COMP100365,CUST100265,2025-12-05,Data/Speed Issue,Resolved,1
COMP100366,CUST100266,2025-12-17,Billing Issue,Resolved,2
COMP100367,CUST100266,2025-11-18,Network Issue,Resolved,3
COMP100368,CUST100267,2025-12-28,Billing Issue,Resolved,4
COMP100369,CUST100268,2025-10-11,Billing Issue,Resolved,5
COMP100370,CUST100268,2026-01-19,Billing Issue,Resolved,4
COMP100371,CUST100269,2025-09-02,Network Issue,Pending,13
COMP100372,CUST100269,2025-12-18,Data/Speed Issue,Resolved,6
COMP100373,CUST100269,2025-12-23,Network Issue,Resolved,10
COMP100374,CUST100269,2025-09-22,Other,Resolved,13
COMP100375,CUST100274,2025-10-04,Data/Speed Issue,Pending,1
COMP100376,CUST100274,2025-10-02,Network Issue,Resolved,1
COMP100377,CUST100274,2025-09-16,Network Issue,Resolved,2
COMP100378,CUST100274,2025-12-11,Network Issue,Resolved,5
COMP100379,CUST100274,2025-08-09,Data/Speed Issue,Resolved,3
COMP100380,CUST100279,2025-11-20,Billing Issue,Resolved,3
COMP100381,CUST100281,2025-10-24,Network Issue,Resolved,2
COMP100382,CUST100283,2025-09-28,Network Issue,Pending,10
COMP100383,CUST100283,2026-01-10,Billing Issue,Resolved,4
COMP100384,CUST100283,2026-01-05,Data/Speed Issue,Resolved,4
COMP100385,CUST100283,2025-10-01,Data/Speed Issue,Resolved,6
COMP100386,CUST100284,2025-08-10,Service Quality,Resolved,6
COMP100387,CUST100285,2025-12-11,Network Issue,Resolved,3
COMP100388,CUST100286,2025-11-23,Data/Speed Issue,Resolved,11
COMP100389,CUST100286,2025-10-27,Network Issue,Resolved,8
COMP100390,CUST100286,2026-01-01,Data/Speed Issue,Resolved,12
COMP100391,CUST100286,2026-01-14,Data/Speed Issue,Pending,6
COMP100392,CUST100286,2025-12-13,Service Quality,Pending,10
COMP100393,CUST100287,2025-09-13,Data/Speed Issue,Resolved,2
COMP100394,CUST100289,2025-08-30,Network Issue,Resolved,2
COMP100395,CUST100289,2025-12-27,Billing Issue,Resolved,4
COMP100396,CUST100289,2025-09-24,Billing Issue,Resolved,1
COMP100397,CUST100291,2025-09-19,Service Quality,Resolved,2
COMP100398,CUST100291,2025-10-08,Service Quality,Resolved,4
COMP100399,CUST100291,2025-11-11,Service Quality,Resolved,2
COMP100400,CUST100291,2026-01-11,Data/Speed Issue,Pending,1
COMP100401,CUST100293,2025-11-27,Network Issue,Pending,14
COMP100402,CUST100293,2025-12-20,Network Issue,Pending,3
COMP100403,CUST100293,2026-01-16,Billing Issue,Pending,10
COMP100404,CUST100293,2025-11-24,Billing Issue,Pending,11
COMP100405,CUST100296,2025-08-30,Service Quality,Resolved,10
COMP100406,CUST100298,2025-12-26,Billing Issue,Resolved,5
COMP100407,CUST100299,2025-10-04,Network Issue,Pending,7
COMP100408,CUST100299,2025-10-29,Service Quality,Pending,9
COMP100409,CUST100299,2025-09-24,Data/Speed Issue,Resolved,12
COMP100410,CUST100299,2025-10-22,Billing Issue,Pending,3
COMP100411,CUST100300,2025-11-19,Service Quality,Resolved,12
COMP100412,CUST100301,2025-12-22,Service Quality,Resolved,2
COMP100413,CUST100301,2025-11-07,Billing Issue,Resolved,4
COMP100414,CUST100302,2025-10-27,Data/Speed Issue,Resolved,6
COMP100415,CUST100303,2025-12-26,Other,Resolved,3
COMP100416,CUST100305,2025-12-07,Billing Issue,Pending,4
COMP100417,CUST100306,2025-12-27,Network Issue,Resolved,1
COMP100418,CUST100307,2025-09-13,Billing Issue,Resolved,5
COMP100419,CUST100308,2025-12-31,Billing Issue,Resolved,4
COMP100420,CUST100308,2025-10-28,Network Issue,Resolved,3
COMP100421,CUST100309,2025-11-06,Data/Speed Issue,Resolved,3
COMP100422,CUST100309,2025-10-04,Data/Speed Issue,Resolved,14
COMP100423,CUST100309,2025-09-10,Data/Speed Issue,Resolved,13
COMP100424,CUST100311,2025-12-13,Billing Issue,Resolved,3
COMP100425,CUST100312,2025-09-12,Network Issue,Pending,4
COMP100426,CUST100312,2025-08-11,Network Issue,Resolved,4
