customer_id,city,age,gender,plan_type,contract_type,tenure_months,monthly_charges
CUST100074,Bangalore,52,Female,Postpaid,Month-to-Month,8,1138.21
CUST100075,Bangalore,41,Female,Prepaid,No Contract,8,202.75
CUST100076,Noida,57,Female,Broadband,1-Year,20,1789.43
CUST100077,Delhi,61,Male,Broadband,Month-to-Month,18,2455.45
CUST100078,Gurgaon,19,Male,Broadband,Month-to-Month,5,1614.77
CUST100079,Delhi,40,Male,Prepaid,No Contract,36,279.94
CUST100080,Noida,50,Male,Prepaid,No Contract,2,418.77
CUST100081,Bangalore,31,Female,Broadband,2-Year,37,1683.18
CUST100082,Gurgaon,32,Female,Prepaid,No Contract,11,315.54
CUST100083,Delhi,49,Male,Broadband,2-Year,62,1944.21
CUST100084,Gurgaon,40,Female,Broadband,2-Year,60,1513.18
CUST100085,Gurgaon,21,Male,Prepaid,No Contract,8,480.56
CUST100086,Bangalore,37,Female,Postpaid,1-Year,41,980.38
CUST100087,Bangalore,48,Male,Postpaid,1-Year,24,1324.07
CUST100088,Noida,24,Male,Postpaid,2-Year,42,619.54
CUST100089,Mumbai,18,Male,Postpaid,1-Year,41,833.61
CUST100090,Delhi,22,Female,Prepaid,No Contract,17,331.37
CUST100091,Bangalore,31,Male,Broadband,1-Year,10,857.08
CUST100092,Noida,47,Female,Postpaid,Month-to-Month,22,960.73
CUST100093,Mumbai,55,Male,Postpaid,Month-to-Month,6,664.4
CUST100094,Noida,40,Male,Postpaid,1-Year,34,1132.85
CUST100095,Mumbai,24,Male,Postpaid,Month-to-Month,22,716.33
CUST100096,Mumbai,61,Female,Postpaid,Month-to-Month,21,1098.36
CUST100097,Mumbai,56,Male,Postpaid,Month-to-Month,9,1285.89
CUST100098,Delhi,33,Male,Postpaid,2-Year,21,1350.8
CUST100099,Delhi,26,Male,Prepaid,No Contract,14,248.36
CUST100100,Delhi,56,Female,Postpaid,1-Year,23,1336.07
CUST100101,Bangalore,63,Male,Postpaid,Month-to-Month,16,808.67
CUST100102,Gurgaon,51,Male,Prepaid,No Contract,22,405.07
CUST100103,Mumbai,48,Female,Postpaid,Month-to-Month,5,1287.48
CUST100104,Pune,62,Female,Broadband,2-Year,15,1802.71
CUST100105,Gurgaon,24,Female,Broadband,2-Year,65,1957.72
CUST100106,Mumbai,19,Female,Prepaid,No Contract,4,235.23
CUST100107,Noida,23,Male,Prepaid,No Contract,1,492.18
CUST100108,Gurgaon,61,Male,Broadband,2-Year,19,1631.25
CUST100109,Delhi,51,Male,Prepaid,No Contract,17,430.16
CUST100110,Gurgaon,34,Female,Broadband,Month-to-Month,19,1906.19
CUST100111,Delhi,43,Male,Broadband,1-Year,12,956.81
CUST100112,Pune,29,Male,Broadband,Month-to-Month,23,1117.62
CUST100113,Noida,37,Male,Postpaid,1-Year,48,1396.51
CUST100114,Bangalore,58,Female,Postpaid,2-Year,63,1298.69
CUST100115,Noida,63,Male,Broadband,Month-to-Month,20,877.92
CUST100116,Noida,52,Male,Postpaid,Month-to-Month,24,1009.89
CUST100117,Delhi,52,Male,Prepaid,No Contract,27,369.15
CUST100118,Noida,46,Male,Postpaid,Month-to-Month,3,1054.26
CUST100119,Mumbai,65,Female,Prepaid,No Contract,14,333.12
CUST100120,Noida,55,Female,Prepaid,No Contract,20,241.93
CUST100121,Noida,48,Male,Prepaid,No Contract,36,348.88
CUST100122,Gurgaon,57,Female,Postpaid,2-Year,20,780.6
CUST100123,Delhi,30,Female,Broadband,1-Year,47,900.63
CUST100124,Gurgaon,43,Female,Postpaid,2-Year,32,751.81
CUST100125,Mumbai,39,Female,Prepaid,No Contract,26,454.85
CUST100126,Noida,25,Female,Broadband,2-Year,35,1635.34
CUST100127,Noida,57,Female,Prepaid,No Contract,27,203.27
CUST100128,Delhi,24,Male,Prepaid,No Contract,34,441.06
CUST100129,Mumbai,22,Male,Prepaid,No Contract,12,319.57
CUST100130,Mumbai,18,Male,Prepaid,No Contract,20,350.22
CUST100131,Gurgaon,62,Female,Broadband,Month-to-Month,10,1105.2
CUST100132,Delhi,57,Female,Prepaid,No Contract,29,319.67
CUST100133,Gurgaon,28,Male,Prepaid,No Contract,23,239.27
CUST100134,Pune,49,Female,Postpaid,1-Year,45,848.5
CUST100135,Gurgaon,24,Male,Prepaid,No Contract,3,476.35
CUST100136,Mumbai,46,Female,Postpaid,1-Year,18,605.95
CUST100137,Bangalore,47,Female,Postpaid,Month-to-Month,5,550.05
CUST100138,Gurgaon,38,Male,Prepaid,No Contract,14,319.93
CUST100139,Pune,56,Male,Postpaid,1-Year,39,750.82
CUST100140,Pune,65,Male,Prepaid,No Contract,20,383.97
CUST100141,Gurgaon,61,Female,Postpaid,Month-to-Month,13,1068.51
CUST100142,Mumbai,60,Female,Postpaid,Month-to-Month,24,1140.3
CUST100143,Gurgaon,58,Female,Postpaid,2-Year,63,815.43
CUST100144,Gurgaon,56,Female,Postpaid,Month-to-Month,12,1055.73
CUST100145,Delhi,37,Male,Prepaid,No Contract,27,332.98
CUST100146,Bangalore,39,Female,Postpaid,Month-to-Month,24,1178.88
CUST100147,Mumbai,46,Female,Broadband,Month-to-Month,13,2128.11
CUST100148,Delhi,63,Other,Prepaid,No Contract,15,291.84
CUST100149,Gurgaon,21,Female,Prepaid,No Contract,2,313.2
CUST100150,Pune,20,Male,Prepaid,No Contract,30,301.94
CUST100151,Gurgaon,26,Female,Prepaid,No Contract,29,324.27
CUST100152,Delhi,22,Male,Prepaid,No Contract,26,303.98
CUST100153,Mumbai,20,Male,Prepaid,No Contract,8,240.75
CUST100154,Pune,42,Male,Postpaid,1-Year,25,1269.25
CUST100155,Gurgaon,49,Male,Broadband,2-Year,68,2015.69
CUST100156,Bangalore,50,Female,Broadband,1-Year,31,1712.31
CUST100157,Noida,35,Female,Prepaid,No Contract,27,440.09
CUST100158,Gurgaon,62,Male,Broadband,2-Year,59,1305.12
CUST100159,Bangalore,53,Male,Prepaid,No Contract,12,221.56
CUST100160,Gurgaon,58,Female,Postpaid,Month-to-Month,18,536.93
CUST100161,Bangalore,46,Female,Prepaid,No Contract,24,430.26
CUST100162,Bangalore,56,Male,Broadband,1-Year,29,1569.78
CUST100163,Mumbai,64,Male,Broadband,Month-to-Month,10,2386.53
CUST100164,Delhi,62,Male,Broadband,Month-to-Month,8,2208.0
CUST100165,Noida,19,Female,Prepaid,No Contract,23,490.82
CUST100166,Gurgaon,28,Male,Prepaid,No Contract,2,335.22
CUST100167,Delhi,48,Male,Postpaid,Month-to-Month,21,741.86
CUST100168,Delhi,21,Female,Prepaid,No Contract,4,398.82
CUST100169,Mumbai,46,Female,Broadband,2-Year,64,873.32
CUST100170,Bangalore,20,Female,Prepaid,No Contract,4,313.44
CUST100171,Delhi,19,Female,Prepaid,No Contract,12,253.73
CUST100172,Mumbai,61,Male,Broadband,Month-to-Month,8,2100.05
CUST100173,Gurgaon,53,Male,Postpaid,Month-to-Month,21,918.39
CUST100174,Bangalore,31,Male,Broadband,2-Year,30,860.46
CUST100175,Delhi,65,Male,Postpaid,2-Year,53,1246.82
CUST100176,Bangalore,21,Male,Postpaid,Month-to-Month,7,1331.52
CUST100177,Gurgaon,61,Female,Broadband,Month-to-Month,24,2462.68
CUST100178,Pune,47,Male,Postpaid,Month-to-Month,23,524.1
CUST100179,Delhi,36,Male,Prepaid,No Contract,33,387.05
CUST100180,Gurgaon,36,Male,Prepaid,No Contract,8,403.88
CUST100181,Delhi,61,Male,Postpaid,Month-to-Month,24,1097.61
CUST100182,Pune,48,Male,Postpaid,1-Year,43,1001.95
CUST100183,Noida,32,Male,Broadband,Month-to-Month,2,1685.64
CUST100184,Gurgaon,46,Female,Broadband,Month-to-Month,17,1365.28
CUST100185,Bangalore,20,Female,Broadband,Month-to-Month,10,1278.62
CUST100186,Noida,36,Male,Postpaid,Month-to-Month,22,678.98
CUST100187,Mumbai,39,Male,Prepaid,No Contract,24,287.04
CUST100188,Mumbai,64,Male,Postpaid,1-Year,9,1092.69
CUST100189,Gurgaon,37,Female,Broadband,Month-to-Month,21,1567.61
CUST100190,Delhi,24,Male,Prepaid,No Contract,16,361.36
CUST100191,Noida,21,Female,Prepaid,No Contract,35,331.99
CUST100192,Pune,18,Male,Prepaid,No Contract,13,375.55
CUST100193,Bangalore,58,Male,Broadband,Month-to-Month,12,1532.77
CUST100194,Gurgaon,24,Male,Prepaid,No Contract,30,301.88
CUST100195,Gurgaon,39,Male,Postpaid,1-Year,46,1337.98
CUST100196,Bangalore,54,Female,Prepaid,No Contract,25,405.97
CUST100197,Noida,47,Female,Postpaid,2-Year,20,556.22
CUST100198,Noida,26,Female,Postpaid,Month-to-Month,3,713.47
CUST100199,Noida,44,Female,Postpaid,2-Year,24,961.5
CUST100200,Bangalore,55,Female,Postpaid,Month-to-Month,8,592.28
CUST100201,Delhi,40,Female,Postpaid,1-Year,24,1317.05
CUST100202,Delhi,29,Female,Prepaid,No Contract,31,355.31
CUST100203,Noida,30,Male,Broadband,1-Year,26,2308.83
CUST100204,Bangalore,50,Female,Broadband,Month-to-Month,11,1307.98
CUST100205,Delhi,32,Male,Broadband,Month-to-Month,5,966.28
CUST100206,Delhi,33,Male,Postpaid,1-Year,16,1238.17
CUST100207,Bangalore,51,Female,Prepaid,No Contract,13,491.72
CUST100208,Delhi,26,Female,Postpaid,Month-to-Month,17,1364.88
CUST100209,Delhi,59,Male,Prepaid,No Contract,7,478.39
CUST100210,Mumbai,44,Male,Broadband,1-Year,6,2136.71
CUST100211,Bangalore,65,Male,Postpaid,1-Year,11,659.19
CUST100212,Bangalore,32,Male,Prepaid,No Contract,25,297.67
CUST100213,Gurgaon,52,Male,Prepaid,No Contract,12,369.72
CUST100214,Bangalore,51,Male,Postpaid,Month-to-Month,10,920.49
CUST100215,Gurgaon,57,Female,Broadband,Month-to-Month,21,2387.47
CUST100216,Gurgaon,47,Female,Prepaid,No Contract,10,269.62
CUST100217,Bangalore,65,Male,Prepaid,No Contract,10,477.9
CUST100218,Bangalore,40,Male,Postpaid,Month-to-Month,11,1304.62
CUST100219,Noida,26,Female,Prepaid,No Contract,4,264.59
CUST100220,Bangalore,49,Female,Broadband,Month-to-Month,23,1136.02
CUST100221,Mumbai,52,Female,Broadband,1-Year,30,1659.32
CUST100222,Delhi,49,Other,Postpaid,2-Year,65,855.25
CUST100223,Gurgaon,62,Male,Postpaid,1-Year,9,530.97
CUST100224,Gurgaon,33,Male,Postpaid,2-Year,27,541.37
CUST100225,Gurgaon,49,Male,Prepaid,No Contract,34,305.66
CUST100226,Pune,42,Female,Prepaid,No Contract,34,203.28
CUST100227,Gurgaon,47,Male,Broadband,Month-to-Month,11,1316.87
CUST100228,Noida,54,Female,Postpaid,1-Year,42,620.92
CUST100229,Bangalore,54,Male,Broadband,Month-to-Month,20,1707.68
CUST100230,Noida,52,Male,Prepaid,No Contract,7,360.69
CUST100231,Mumbai,62,Female,Broadband,1-Year,46,1272.72
CUST100232,Mumbai,25,Male,Prepaid,No Contract,20,391.15
CUST100233,Mumbai,57,Female,Broadband,1-Year,36,1362.82
CUST100234,Delhi,64,Female,Postpaid,1-Year,25,1024.18
CUST100235,Bangalore,53,Female,Prepaid,No Contract,17,399.07
CUST100236,Gurgaon,42,Male,Prepaid,No Contract,36,437.64
CUST100237,Delhi,35,Female,Broadband,Month-to-Month,17,2483.89
CUST100238,Bangalore,56,Female,Broadband,2-Year,57,1337.36
CUST100239,Delhi,27,Male,Prepaid,No Contract,23,373.01
CUST100240,Pune,18,Male,Prepaid,No Contract,35,237.53
CUST100241,Pune,21,Male,Prepaid,No Contract,1,210.4
CUST100242,Pune,43,Male,Postpaid,Month-to-Month,16,636.7
CUST100243,Gurgaon,28,Male,Prepaid,No Contract,1,438.16
CUST100244,Delhi,32,Male,Prepaid,No Contract,4,319.56
CUST100245,Pune,49,Female,Broadband,Month-to-Month,11,853.86
CUST100246,Mumbai,32,Other,Postpaid,1-Year,14,506.15
CUST100247,Pune,45,Male,Broadband,2-Year,19,1328.62
CUST100248,Pune,40,Female,Postpaid,2-Year,18,1055.89
CUST100249,Noida,20,Male,Prepaid,No Contract,29,403.39
CUST100250,Gurgaon,49,Male,Prepaid,No Contract,25,332.86
CUST100251,Gurgaon,37,Male,Postpaid,Month-to-Month,4,1081.35
CUST100252,Noida,31,Female,Postpaid,1-Year,33,503.74
CUST100253,Gurgaon,52,Female,Broadband,1-Year,28,1267.65
CUST100254,Delhi,57,Female,Postpaid,Month-to-Month,19,668.48
CUST100255,Mumbai,59,Male,Postpaid,2-Year,32,596.2
CUST100256,Pune,26,Male,Broadband,Month-to-Month,24,2074.58
CUST100257,Bangalore,64,Male,Postpaid,Month-to-Month,15,1004.92
CUST100258,Mumbai,41,Female,Prepaid,No Contract,21,469.43
CUST100259,Delhi,58,Female,Postpaid,2-Year,55,697.89
CUST100260,Bangalore,21,Female,Prepaid,No Contract,34,376.83
CUST100261,Pune,29,Female,Prepaid,No Contract,17,373.1
CUST100262,Delhi,41,Female,Broadband,2-Year,52,2213.7
CUST100263,Mumbai,18,Female,Prepaid,No Contract,3,479.88
CUST100264,Noida,31,Female,Postpaid,Month-to-Month,17,1160.71
CUST100265,Bangalore,48,Female,Postpaid,1-Year,29,1219.06
CUST100266,Bangalore,27,Male,Prepaid,No Contract,5,435.71
CUST100267,Bangalore,50,Female,Postpaid,Month-to-Month,19,1246.87
CUST100268,Gurgaon,53,Female,Broadband,Month-to-Month,13,850.78
CUST100269,Gurgaon,59,Female,Broadband,1-Year,30,1948.58
CUST100270,Noida,52,Female,Prepaid,No Contract,34,258.41
CUST100271,Noida,65,Female,Postpaid,2-Year,39,845.72
CUST100272,Noida,35,Male,Postpaid,Month-to-Month,23,1429.3
CUST100273,Pune,42,Female,Broadband,1-Year,6,2237.77
CUST100274,Mumbai,29,Male,Postpaid,Month-to-Month,4,655.29
CUST100275,Mumbai,45,Male,Broadband,Month-to-Month,15,1183.01
CUST100276,Noida,26,Male,Prepaid,No Contract,27,275.03
CUST100277,Bangalore,41,Male,Postpaid,Month-to-Month,18,1107.59
CUST100278,Bangalore,37,Female,Prepaid,No Contract,13,363.2
CUST100279,Noida,43,Male,Postpaid,1-Year,22,735.71
CUST100280,Noida,22,Female,Prepaid,No Contract,5,439.51
CUST100281,Gurgaon,44,Male,Prepaid,No Contract,4,318.67
CUST100282,Gurgaon,45,Female,Broadband,1-Year,27,1097.5
CUST100283,Delhi,54,Male,Postpaid,Month-to-Month,8,529.43
CUST100284,Mumbai,57,Female,Prepaid,No Contract,4,312.71
CUST100285,Delhi,24,Female,Prepaid,No Contract,35,265.23
CUST100286,Mumbai,36,Male,Prepaid,No Contract,26,394.25
CUST100287,Mumbai,39,Female,Prepaid,No Contract,18,410.09
CUST100288,Gurgaon,35,Male,Broadband,1-Year,25,2024.91
CUST100289,Mumbai,32,Female,Postpaid,1-Year,37,944.07
CUST100290,Delhi,50,Female,Broadband,1-Year,42,826.66
CUST100291,Delhi,56,Male,Prepaid,No Contract,22,244.15
CUST100292,Noida,22,Female,Prepaid,No Contract,35,481.11
CUST100293,Gurgaon,57,Female,Prepaid,No Contract,4,321.67
CUST100294,Delhi,54,Female,Postpaid,Month-to-Month,11,511.8
CUST100295,Mumbai,22,Female,Prepaid,No Contract,13,383.73
CUST100296,Noida,54,Female,Postpaid,Month-to-Month,3,659.09
CUST100297,Gurgaon,60,Male,Prepaid,No Contract,21,305.51
CUST100298,Bangalore,24,Female,Prepaid,No Contract,16,208.09
CUST100299,Delhi,19,Male,Prepaid,No Contract,9,401.21
CUST100300,Delhi,47,Female,Prepaid,No Contract,29,304.15
CUST100301,Mumbai,28,Male,Prepaid,No Contract,14,398.09
CUST100302,Mumbai,54,Female,Broadband,1-Year,45,962.31
CUST100303,Bangalore,56,Male,Broadband,2-Year,28,1708.14
CUST100304,Bangalore,50,Male,Prepaid,No Contract,10,495.89
CUST100305,Pune,26,Male,Prepaid,No Contract,18,366.37
CUST100306,Mumbai,28,Female,Prepaid,No Contract,36,383.37
CUST100307,Gurgaon,29,Male,Prepaid,No Contract,13,467.45
CUST100308,Noida,27,Male,Prepaid,No Contract,34,471.74
CUST100309,Gurgaon,28,Male,Prepaid,No Contract,9,207.61
CUST100310,Mumbai,50,Female,Prepaid,No Contract,32,202.57
CUST100311,Delhi,37,Male,Postpaid,2-Year,42,1471.89
CUST100312,Delhi,22,Male,Prepaid,No Contract,25,283.63
CUST100313,Pune,64,Male,Postpaid,Month-to-Month,20,879.46
CUST100314,Noida,41,Male,Broadband,Month-to-Month,19,1262.07
CUST100315,Bangalore,49,Male,Broadband,Month-to-Month,1,910.66
CUST100316,Mumbai,48,Female,Postpaid,1-Year,12,620.44
CUST100317,Delhi,59,Male,Prepaid,No Contract,33,438.6
CUST100318,Delhi,61,Male,Broadband,1-Year,30,1153.2
CUST100319,Gurgaon,31,Male,Postpaid,2-Year,51,728.52
CUST100320,Mumbai,36,Male,Prepaid,No Contract,8,439.94
CUST100321,Bangalore,59,Female,Prepaid,No Contract,6,208.48
CUST100322,Bangalore,41,Female,Broadband,2-Year,58,1717.85
CUST100323,Gurgaon,49,Male,Broadband,1-Year,39,1031.52
CUST100324,Pune,29,Female,Broadband,Month-to-Month,1,1193.82
CUST100325,Bangalore,38,Male,Postpaid,Month-to-Month,1,797.16
CUST100326,Mumbai,53,Female,Broadband,1-Year,39,1216.2
CUST100327,Bangalore,42,Female,Postpaid,1-Year,34,1096.15
CUST100328,Mumbai,31,Male,Postpaid,1-Year,25,904.91
CUST100329,Gurgaon,25,Male,Postpaid,1-Year,40,727.13
CUST100330,Gurgaon,46,Female,Postpaid,2-Year,66,891.0
CUST100331,Noida,42,Male,Broadband,1-Year,34,1534.75
CUST100332,Delhi,40,Male,Broadband,1-Year,47,1699.15
CUST100333,Delhi,53,Female,Broadband,2-Year,22,887.37
CUST100334,Delhi,65,Female,Broadband,Month-to-Month,3,1973.81
CUST100335,Delhi,29,Male,Prepaid,No Contract,34,273.66
CUST100336,Noida,29,Female,Prepaid,No Contract,28,238.69
CUST100337,Bangalore,35,Male,Postpaid,Month-to-Month,20,588.42
CUST100338,Mumbai,53,Female,Postpaid,Month-to-Month,4,1149.9
CUST100339,Delhi,65,Male,Postpaid,1-Year,26,1244.8
CUST100340,Mumbai,36,Female,Postpaid,Month-to-Month,18,602.78
CUST100341,Mumbai,65,Male,Prepaid,No Contract,16,384.04
CUST100342,Delhi,52,Female,Postpaid,2-Year,48,1411.47
CUST100343,Mumbai,44,Female,Prepaid,No Contract,31,225.54
CUST100344,Gurgaon,20,Male,Broadband,Month-to-Month,18,1150.26
CUST100345,Bangalore,30,Female,Prepaid,No Contract,25,269.6
CUST100346,Bangalore,55,Male,Broadband,Month-to-Month,9,1769.48
CUST100347,Delhi,58,Female,Broadband,2-Year,42,880.11
CUST100348,Gurgaon,36,Female,Prepaid,No Contract,7,317.89
CUST100349,Bangalore,60,Female,Prepaid,No Contract,33,387.03
CUST100350,Mumbai,52,Female,Broadband,2-Year,16,1508.98
CUST100351,Noida,32,Male,Prepaid,No Contract,11,204.64
CUST100352,Bangalore,33,Male,Postpaid,2-Year,61,1456.5
CUST100353,Delhi,52,Female,Prepaid,No Contract,33,380.25
CUST100354,Delhi,22,Male,Prepaid,No Contract,17,473.45
CUST100355,Bangalore,24,Male,Prepaid,No Contract,7,320.45
CUST100356,Delhi,38,Male,Postpaid,2-Year,43,1140.1
CUST100357,Mumbai,58,Female,Broadband,1-Year,11,1815.95
CUST100358,Pune,18,Female,Postpaid,Month-to-Month,12,1461.64
CUST100359,Mumbai,42,Male,Postpaid,Month-to-Month,4,743.17
CUST100360,Gurgaon,47,Male,Postpaid,1-Year,40,916.55
CUST100361,Bangalore,36,Female,Postpaid,Month-to-Month,14,700.91
CUST100362,Mumbai,41,Male,Postpaid,1-Year,7,1430.85
CUST100363,Mumbai,63,Female,Postpaid,Month-to-Month,6,542.1
CUST100364,Pune,32,Male,Prepaid,No Contract,25,214.47
CUST100365,Gurgaon,52,Male,Postpaid,Month-to-Month,13,908.65
CUST100366,Pune,41,Male,Postpaid,1-Year,48,618.76
CUST100367,Pune,53,Male,Postpaid,1-Year,20,685.66
CUST100368,Delhi,31,Male,Postpaid,Month-to-Month,9,1361.08
CUST100369,Delhi,39,Female,Postpaid,2-Year,58,1306.56
CUST100370,Delhi,56,Female,Prepaid,No Contract,16,341.0
CUST100371,Delhi,25,Male,Prepaid,No Contract,17,436.93
CUST100372,Delhi,65,Male,Broadband,1-Year,46,1575.78
CUST100373,Bangalore,33,Male,Postpaid,Month-to-Month,20,1467.45
CUST100374,Delhi,63,Female,Broadband,1-Year,40,1167.91
CUST100375,Gurgaon,34,Female,Prepaid,No Contract,18,460.1
CUST100376,Noida,22,Male,Broadband,1-Year,24,1584.08
CUST100377,Delhi,58,Male,Postpaid,Month-to-Month,14,1339.31
CUST100378,Noida,52,Male,Broadband,Month-to-Month,23,1926.03
CUST100379,Gurgaon,54,Male,Postpaid,1-Year,48,1268.59
CUST100380,Delhi,35,Male,Prepaid,No Contract,16,428.14
CUST100381,Bangalore,38,Female,Prepaid,No Contract,20,283.61
CUST100382,Bangalore,59,Female,Postpaid,Month-to-Month,11,676.28
CUST100383,Noida,18,Female,Prepaid,No Contract,17,382.4
CUST100384,Bangalore,34,Female,Postpaid,1-Year,20,670.53
CUST100385,Noida,25,Male,Broadband,Month-to-Month,15,2482.92
CUST100386,Gurgaon,46,Female,Broadband,1-Year,40,1353.37
CUST100387,Delhi,37,Female,Prepaid,No Contract,36,256.05
CUST100388,Noida,54,Male,Prepaid,No Contract,9,288.39
CUST100389,Noida,56,Female,Broadband,Month-to-Month,15,843.91
CUST100390,Pune,22,Male,Prepaid,No Contract,10,328.02
CUST100391,Mumbai,27,Other,Broadband,Month-to-Month,15,812.77
CUST100392,Gurgaon,23,Male,Postpaid,1-Year,29,1255.98
CUST100393,Noida,24,Male,Prepaid,No Contract,26,332.04
CUST100394,Gurgaon,52,Male,Broadband,Month-to-Month,2,2468.46
CUST100395,Pune,44,Male,Prepaid,No Contract,34,353.76
CUST100396,Noida,59,Female,Postpaid,2-Year,17,1400.94
CUST100397,Mumbai,38,Male,Prepaid,No Contract,10,274.97
CUST100398,Noida,41,Female,Broadband,1-Year,9,2389.58
CUST100399,Noida,46,Female,Prepaid,No Contract,2,424.42
CUST100400,Delhi,44,Female,Postpaid,1-Year,23,505.11
CUST100401,Pune,55,Female,Broadband,1-Year,27,854.09
CUST100402,Mumbai,19,Female,Prepaid,No Contract,9,433.06
CUST100403,Noida,42,Male,Postpaid,Month-to-Month,7,667.35
CUST100404,Gurgaon,19,Other,Prepaid,No Contract,26,475.97
